PromptID,LowLevelFKGL,MediumLevelFKGL,HighLevelFKGL
1,3.48,6.53,8.36
1,5.17,6.71,11.66
1,2.9,4.36,7.55
1,6.98,8.99,9.5
1,7.86,8.18,10.28
1,5.48,5.91,7.97
1,4.86,4.73,5.86
1,5.88,6.59,6.54
1,7.68,6.38,7.36
1,6.77,5.77,12.76
2,1.59,4.24,8.07
2,5.26,7.7,7.55
2,4.67,5.55,8.12
2,3.31,9.09,13.71
2,7.33,6.48,9.41
2,5.26,5.07,7.97
2,5.75,4.85,7.81
2,6.49,6.27,7.53
2,7.68,6.85,7.04
2,6.43,5.77,6.93
3,6.95,10.44,9.95
3,7.93,7.92,10.24
3,7.6,9.59,9.06
3,5.31,11.86,13.31
3,6.01,8.15,9.38
3,7.02,12.36,11.27
3,9.93,11.05,10.69
3,6.97,6.83,8.36
3,12.47,11.28,11.17
3,11.44,10.19,10.73
4,5.32,6.46,9.52
4,8.9,7.25,14.77
4,5.29,6.58,9.62
4,7.34,7.6,10.52
4,5.71,6.79,11.39
4,8.45,6.52,13.78
4,3.84,5.97,11.16
4,5.48,5.82,11.35
4,9.16,9.33,10.57
4,9.26,8.58,13.49
5,4.54,6.84,12.49
5,6.33,9.63,13.03
5,3.6,5.83,10.33
5,5.94,7.89,12.15
5,6.13,7.17,12.41
5,8.63,5.43,9.86
5,11.78,6.3,8.13
5,8.26,5.19,9.56
5,10.32,8.15,8.88
5,7.87,10,11.36
6,4.5,7.6,8.26
6,6.43,9.18,10.95
6,5.72,5.63,7.2
6,5.56,9.93,10.52
6,6.32,8.91,7.1
6,8.52,6.29,7.53
6,5.93,5.78,7.73
6,6.58,4.2,7.4
6,8.11,7.45,8.87
6,5.96,8.71,10.16
7,1.63,4.39,7.25
7,3.95,6.22,8.95
7,1.11,0.62,6.99
7,3.18,4.77,9.97
7,1.66,3.24,9.17
7,3.14,4.11,9.91
7,3.06,1.9,7.05
7,3.26,4.16,5.3
7,3.49,5.57,7.32
7,1.6,5.35,5.05
